time channel1 channel2 channel3
-6e-08 -0.2 -0.2 -0.2
-5.99e-08 -0.2 -0.2 -0.2
-5.979999999999999e-08 -0.2 -0.4 -0.2
-5.97e-08 -0.2 -0.4 -0.2
-5.96e-08 -0.2 -0.4 -0.2
-5.95e-08 -0.2 -0.4 -0.2
-5.9399999999999996e-08 -0.2 -0.4 0.0
-5.9299999999999995e-08 -0.2 -0.4 0.0
-5.9199999999999994e-08 -0.2 -0.2 -0.2
-5.909999999999999e-08 -0.2 -0.2 -0.2
-5.899999999999999e-08 -0.2 -0.4 -0.2
-5.889999999999999e-08 -0.2 -0.4 -0.2
-5.88e-08 -0.2 -0.4 -0.2
-5.8699999999999996e-08 -0.2 -0.4 -0.2
-5.8599999999999995e-08 -0.2 -0.4 -0.2
-5.8499999999999994e-08 -0.2 -0.4 -0.2
-5.8399999999999994e-08 -0.2 -0.2 -0.2
-5.829999999999999e-08 -0.2 -0.2 -0.2
-5.819999999999999e-08 -0.2 -0.2 -0.2
-5.81e-08 -0.2 -0.2 -0.2
-5.7999999999999997e-08 -0.2 -0.4 -0.2
-5.7899999999999996e-08 -0.2 -0.4 -0.2
-5.7799999999999995e-08 -0.2 -0.2 -0.2
-5.7699999999999994e-08 -0.2 -0.2 -0.2
-5.759999999999999e-08 -0.2 -0.4 -0.2
-5.749999999999999e-08 -0.2 -0.4 -0.2
-5.74e-08 -0.2 -0.2 -0.2
-5.73e-08 -0.2 -0.2 -0.2
-5.7199999999999996e-08 -0.2 -0.4 0.0
-5.7099999999999995e-08 -0.2 -0.4 0.0
-5.6999999999999994e-08 -0.2 -0.2 0.0
-5.6899999999999993e-08 -0.2 -0.2 0.0
-5.679999999999999e-08 -0.2 -0.2 -0.2
-5.669999999999999e-08 -0.2 -0.2 -0.2
-5.66e-08 -0.2 -0.2 -0.2
-5.6499999999999996e-08 -0.2 -0.2 -0.2
-5.6399999999999995e-08 -0.2 -0.4 -0.2
-5.6299999999999995e-08 -0.2 -0.4 -0.2
-5.6199999999999994e-08 -0.2 -0.2 -0.2
-5.609999999999999e-08 -0.2 -0.2 -0.2
-5.599999999999999e-08 -0.2 -0.2 -0.2
-5.589999999999999e-08 -0.2 -0.2 -0.2
-5.58e-08 -0.2 -0.2 -0.2
-5.5699999999999996e-08 -0.2 -0.2 -0.2
-5.5599999999999995e-08 -0.2 -0.2 0.0
-5.5499999999999994e-08 -0.2 -0.2 0.0
-5.539999999999999e-08 -0.2 -0.4 0.0
-5.529999999999999e-08 -0.2 -0.4 0.0
-5.519999999999999e-08 -0.2 -0.2 0.0
-5.51e-08 -0.2 -0.2 0.0
-5.4999999999999996e-08 -0.2 -0.2 0.0
-5.4899999999999995e-08 -0.2 -0.2 0.0
-5.4799999999999994e-08 -0.2 -0.4 -0.2
-5.4699999999999994e-08 -0.2 -0.4 -0.2
-5.459999999999999e-08 -0.2 -0.4 -0.2
-5.449999999999999e-08 -0.2 -0.4 -0.2
-5.44e-08 -0.2 -0.4 -0.2
-5.4299999999999997e-08 -0.2 -0.4 -0.2
-5.4199999999999996e-08 -0.2 -0.4 0.0
-5.4099999999999995e-08 -0.2 -0.4 0.0
-5.3999999999999994e-08 -0.2 -0.4 0.0
-5.389999999999999e-08 -0.2 -0.4 0.0
-5.379999999999999e-08 -0.2 -0.4 -0.2
-5.37e-08 -0.2 -0.4 -0.2
-5.36e-08 -0.2 -0.4 -0.2
-5.3499999999999996e-08 -0.2 -0.4 -0.2
-5.3399999999999995e-08 -0.2 -0.4 -0.2
-5.3299999999999994e-08 -0.2 -0.4 -0.2
-5.319999999999999e-08 -0.2 -0.4 0.0
-5.309999999999999e-08 -0.2 -0.4 0.0
-5.299999999999999e-08 -0.2 -0.4 -0.2
-5.29e-08 -0.2 -0.4 -0.2
-5.2799999999999996e-08 -0.2 -0.4 -0.2
-5.2699999999999995e-08 -0.2 -0.4 -0.2
-5.2599999999999995e-08 -0.2 -0.4 0.0
-5.2499999999999994e-08 -0.2 -0.4 0.0
-5.239999999999999e-08 -0.2 -0.2 0.0
-5.23e-08 -0.2 -0.2 0.0
-5.219999999999999e-08 -0.2 -0.4 0.0
-5.2099999999999997e-08 -0.2 -0.4 0.0
-5.1999999999999996e-08 -0.2 -0.2 -0.2
-5.1899999999999995e-08 -0.2 -0.2 -0.2
-5.1799999999999994e-08 -0.2 -0.2 -0.2
-5.169999999999999e-08 -0.2 -0.2 -0.2
-5.159999999999999e-08 -0.2 -0.4 -0.2
-5.149999999999999e-08 -0.2 -0.4 -0.2
-5.14e-08 -0.2 -0.4 -0.2
-5.1299999999999996e-08 -0.2 -0.4 -0.2
-5.1199999999999995e-08 -0.2 -0.4 -0.2
-5.1099999999999994e-08 -0.2 -0.4 -0.2
